"cheyenne","This Wyoming capital is home to the annual Frontier Days celebration"
"baltimore","It's the only Maryland city not located within a county"
"honolulu","Principal routes through this capital include Ala Moana Boulevard and Pali Highway"
"tucson","This Arizona city's name comes from Chuk Son, Papago for ""Spring at the foot of a black mountain"
"newport","This Rhode Island resort city is the site of the U.S. Navy Undersea Warfare Center"
"boston","Its nicknames include ""The Athens of America"" and ""The Cradle of Liberty"
"salem","When Oregon became a state in 1859, this city on the Willamette River was already the capital"
"philadelphia","Benjamin Franklin Parkway and The Franklin Institute Science Museum are in this city"
"cleveland","According to a song by Ian Hunter, it ""Rocks"" (must be why the Rock and Roll Hall of Fame is there)"
"neworleans","Located in this city's Garden District, Commander's Palace features a jazz brunch on weekends"
"phoenixarizona","Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital"
"atlanticcity","In 1921 this New Jersey city crowned its first Miss America"
"augusta","This Georgia  city that's popular with golfers was named for the mother of George III"
"kalamazoo","Had this Michigan city kept its earlier name, there might have been a song ""I've Got A Gal In Bronson"
"mobile","A bay and a river bear the name of this city, Alabama's second largest"
"zanesville","An A to Z list of Ohio cities might run from Aberdeen to this birthplace of a famous western author"
"losangeles","This city's Major League Baseball team plays its home games in Chavez Ravine"
"hartford","This state capital is near the head of navigation on the Connecticut River"
"grandjunction","This Colorado city is located where the Gunnison and Colorado Rivers meet, hence its name"
"abilene","This Texas city was named for the Kansas town that Dwight D. Eisenhower once called home"
"rapidcity","In 1972 a flash flood in this South Dakota city killed over 200 people"
"philadelphia","Elfreth's Alley in this Pennsylvania city dates back to the time of William Penn"
"lexington","Located in the heart of Kentucky's Bluegrass Region, it was named for a Massachusetts city"
"rochester","This New York city's largest employer is Eastman Kodak, with about 34,000 employees"
"fairbanks","Alaska's second-largest city, it was founded shortly after gold was discovered there"
"california","Farmers in this state's San Joaquin Valley ship their stock through Stockton"
"lexington","This Kentucky city was founded in 1775 and named for a battle site in Massachusetts"
"atlanta","In November 2001 this city's Journal and Constitution newspapers fully merged"
"eriecanal","Rochester, New York grew because of its location on this"
"lewiston","This Idaho city, founded in 1861, was named for the co-leader of an expedition that camped there in 1805"
"chicago","Colleges in this city include Harold Washington, Malcolm X and Richard J. Daley"
"neworleans","171-foot-wide Canal Street runs from Lake Pontchartrain to the Mississippi River in this city"
"newjersey","Paterson, in this state, was once known as ""America's Silk City"
"greatfalls","Giant Springs, one of the world's largest freshwater springs, is located at this ""great"" Montana city"
"cincinnati","In 1790 this Midwest city was named for a society that had been named for a Roman citizen-soldier"
"missouri","The larger Kansas City is in this state"
"sanantonio","The Alamo is in the downtown of this city"
