"geigercounter","It was invented in 1911 by Hans Geiger"
"dinosaur","In 1842, Richard Owen coined this word for ""dinosaur"
"pledge","It's the first verb in the Pledge of Allegiance"
"desert","The name of the Gobi, a vast desert of central Asia, means this in Mongolian"
"adaptation","Charlie and David Kaufman got an Oscar nomination for their adaptation of ""The Orchid Thief"" into this film"
"florence","Florence Nightingale was born in this Italian city in 1820"
"afterbirth","Shortly after birth, the placenta, also called this, is expelled from the uterus"
"lovestory","What can you say about a 25-year-old girl?"" is the first line of this love story by Erich Segal"
"kodiakbear","Kodiak Island is the habitat of this type of bear, Ursus arctos middendorffi"
"hydrogen","Extra atoms of this element are pumped into unsaturated oil to make hydrogenated fat"
"llama","The scientific name of this Andean animal is Lama glama"
"kansascity","It's the third-largest city in Kansas"
"straycats","This rockabilly trio had a 1983 hit with ""Stray Cat Strut"
"greatbritain","Composer Benjamin Britten was born November 22, 1913 at Lowestoft on this island"
"breakwater","(Sofia of the Clue Crew up in the Goodyear Blimp)  It's a majestic sight as the water breaks over this barrier located below us"
"stamps","In 1968-69 Liechtenstein issued a series of stamps honoring prominent collectors of these"
"fox","Network on which you'd see David Duchovny play Fox Mulder and Matthew Fox play Charlie Salinger"
"ocanada","The first 2 words of the French version of the Canadian national anthem"
"spain","After Mexico, it's the most populous country whose official language is Spanish"
"wisconsin","In 1981 this 9-letter word was added to the state flag of Wisconsin"
"vanilla","It's the 1-word name of the Ben and Jerry's flavor described as ""vanilla ice cream with vanilla bean specks"
"movinout","After Dec. 11, 2005 this show was movin' out of Broadway's Richard Rogers Theatre"
"edwardbok","Henry Adams won a Pulitzer for ""The Education of Henry Adams""; this man won for ""The Americanization of Edward Bok"
"hd","The American poet Hilda Doolittle used this 2-letter pen name"
"it","This Stephen King novel says, ""There was a clown in the stormdrain ... it was a clown, like in the circus or on TV"
"johntyler","President John Tyler was the son of Mary Armistead and this governor"
"achevron","Chevron's red and blue logo is this heraldic shape, meant to convey rank and service"
"bears","This NFL team once thought about naming themselves the Chicago Cubs; they now bear a more mature name"
"peel","Sometimes you have to peel cheese off this shovel-like implement used to place pizza in and out of an oven"
"vinsonmassif","Congressman Carl Vinson was lucky to have a massive aircraft carrier and this peak in Antarctica named for him"
"geneva","This large Swiss city is on the western end of Lake Geneva"
"evelyn","Surely you know this was the first name of author Evelyn Waugh's first wife"
"newyorker","In 2004 publisher David Carey announced that more Californians than New Yorkers subscribed to this magazine"
"pgachampionship","In 2004 Whistling Straits in Wisconsin hosted this PGA championship"
"independencehall","It's the hall where the Declaration of Independence was signed"
"leader","The powerful Italian leader Mussolini was called ""Il Duce"", which means this"
"moscowriver","This tributary of the Oka River flows past the city of Moscow"
"goodyear","1844 was a good year for him; he received a patent for his vulcanized rubber process"
"vinci","Leonardo da Vinci was born near this small Tuscan town in 1519"
"alabama","It's the one-word title of the state song of Alabama"
"invisibleman","The first line of this Ralph Ellison novel is ""I am an invisible man"
"danskin","The name of this brand is an amalgam of ""dance"" and ""skin"
"end","This track from ""Abbey Road"" says ""And in the end the love you take is equal to the love you make"
"lloydwright","Frank Lloyd Wright had 6 kids, including his eldest son, who practiced as an architect under this name"
"missouriwaltz","This waltz is the state song of Missouri"
"armhammer","The logo of this brand depicts an arm holding a hammer"
"ha","Completes the title of the 1993 Roddy Doyle book ""Paddy Clarke Ha Ha..."
"threesisters","The Prozorov sisters Olga, Masha and Irina are 3 of the characters in this play"
"book","Geraldine Brooks' book about an illuminated Jewish volume is called ""People of the"" this"
"popularscience","This magazine has been a popular source of science and technology news since its inception in 1872"
"hiro","Masi Oka plays a character with this first name on the TV show ""Heroes"
"firststate","This nickname of Delaware refers to the fact that it was the first state to ratify the Constitution"
"eleven","On 7/11/2000 this company announced the opening of its 20,000th store, a new one in Tokyo"
"silentmovie","In 1976 Marcel Marceau had the only spoken line in this otherwise silent movie"
"oklahomacity","Author Ralph Ellison was born in this Oklahoma city in 1914"
"sicilian","This 1984 Mario Puzo novel was based on the life of the Sicilian bandit-hero Salvatore Giuliano"
"breaststroke","Top Model magazine says this stroke in swimming is ideal exercise for the breasts"
"fortmadison","In 1989 the town of Fort Madison, Iowa celebrated the completion of a wood replica of this historic structure"
"merrywidow","This 1905 operetta by Franz Lehar features the ""Merry Widow Waltz"
"marshallfield","In June 1997 this Chicago department store marshalled its forces for a ""Field Days Sale"
"life","In May 2000 Time Inc. ended this magazine's life as a monthly"
"antepenultimate","Meaning ""The last but two"", it's the antepenultimate word here"
"jamescaan","A judge at the 2000 Cannes Film Festival, this actor thanked the organization for naming the festival after him"
"shampooconditioner","Pert, famous for its 2-in-1 shampoo and conditioner, introduced these 2 new products in early 2000"
"bulls","In 1567 Pope Pius V issued a papal bull against the fighting of these"
"pinetrees","Family of trees on which you'd fine pine cones"
"america","In 1851 this yacht won the trophy that was to become the America's Cup"
"moveabletype","In 1501 Venetian printers began using the moveable type of this to print music"
"duchampvillon","Hyphenated last name of sculptor Raymond, the brother of artists Marcel Duchamp and Jacques Villon"
"milwaukee","The Old Milwaukee brewing company is headquartered in this city"
"delaware","This state is named after Thomas West, whose title was Baron De La Warr"
"washingtonmonument","This Washington D.C. monument stands near the Potomac, about halfway between the Capitol and the Lincoln Memorial"
"ohio","This river forms the southern borders of Ohio, Indiana and Illinois"
"connecticutcollege","Founded in 1911, this Connecticut college is in the town of New London"
"sidneysheldon","Sidney Sheldon's Windmills of the Gods"" was a 1988 TV movie based on his book"
"ozzfest","Ozzy Osbourne was a no-show at this festival's Auburn, Washington stop July 12, 2003"
