"ab","Of the 4, blood group of the universal recipient"
"fly","Unlike most birds, ratites like the ostrich can't do this"
"smell","Associated with this sense, the olfactory lobe is better developed in most vertebrates than in man"
"kidney","Renin, an enzyme that breaks down protein, is secreted by cells in this organ"
"rna","This nucleic acid occurs in 3 forms: messenger, ribosomal and transfer"
"sinuses","These body cavities can contain blood or can be hollow, as in the bones around the nose"
"taproots","Carrots are examples of these main roots that may have smaller roots branching from them"
"splicing","This verb used in film editing also refers to cutting and recombining DNA molecules"
"node","It can mean a tumor, or a body part that's a mass of tissue, like the lymph type"
"atrophy","You win a prize if you give us this term for an organ's shrinkage due to lack of use"
"stomach","Juices naturally occuring in this organ include hydrochloric acid and pepsin, but no orange"
"epidermis","Skin"" term for the layer of cells on the upper and lower surfaces of a leaf; it may be one cell thick"
"photosynthesis","This reaction occurs in the chloroplasts, the oval-shaped green organelles in plants"
"scurvy","Aye-aye, it's a lack of ascorbic acid that can cause this disease"
"whales","The water mammals called cetaceans are divided into dolphins, porpoises and these"
"akingdom","Linnaeus posited just 2 of these living realms, Plantae and Animalia; more are recognized now"
"tcells","Part of the immune system, these, named for their origin in the thymus, feature special receptor molecules"
"calcium","As its name indicates, a mineral called calcitonin lowers the level of this mineral in the blood"
"green","Related to red hemoglobin, chlorocruorin, a pigment in some worms, is this color"
"kidney","In fish and amphibians, the mesonephros functions much like this organ in humans"
"stamen","A flower is considered perfect if it has both pistils and these male organs"
"duramater","Latin for ""hard mother"" it's the outermost membrane covering the brain"
"amoeba","This 1-celled protozoan gets its name from a Greek word meaning ""change"
"epidermis","Because there are no blood vessels in this layer of skin, nutrition is supplied by a tissue fluid"
"dorsal","The opposite of ventral; this term refers to the back region of animals"
"genus","It's the classification above species, but below family"
"carllinnaeus","The system of giving 2 scientific names to all organisms was devised by this Swedish naturalist"
"cloning","3 calves created this way made headlines back in 1988"
"worm","The top 3 inches of an acre of soil may contain billions of nematodes, this type of creature"
"vertebrates","Classed as a subphylum of the chordates, they make up about 3 percent of animal species, including mammals"
"seeds","A few hundred million years ago some plants had the bright idea to protect and spread their embryos in these"
"cytoplasm","In cell division, mitosis splits the nucleus and cytokinesis splits this liquid cushioning the nucleus"
"peas","Round, wrinkled, green seed or yellow seed are differences in the 7 traits of these plants Mendel studied"
"photosynthesis","Oxygen is a waste product of this metabolic process in green plants"
"exoskeleton","Chitin is the main component in this supportive outside covering of lobsters and insects"
"yolk","In a bird's egg, it's contained within the vitelline membrane"
"chlorophyll","From the Greek for ""green leaf"", it's the green pigment in plants"
"louispasteur","This French chemist presented his germ theory of fermentation in an 1857 paper, ""On Lactic Fermentation"
"mutation","It's defined as a change in the hereditary material of an organism's cells"
"fruitfly","The Drosophilidae family of this insect is used extensively in genetics because of its short, 10-day life cycle"
"reptiles","The Mesozoic era is known as the Age of these, such as snakes and iguanas today"
"penicillin","In 1942 scientists got a much higher yield of this antibiotic from a moldy cantaloupe than with previous ways"
"cells","The life of these in your body ranges from 3 days in your intestine to a lifetime in your brain"
"bloodpressure","Your baroreceptors are sensory devices that keep this steady"
"eye","The highest level of activity in this organ of your body is in the Fovea Centralis"
"gills","Lungfish breathe by means of primitive lungs, as well as these respiratory organs"
"fungi","Like mushrooms, molds belong to this group of organisms that lack chlorophyll"
"egg","An ootid is a cell that matures into this"
"olfactorynerves","Impulses concerned with the sense of smell are transmitted to the brain by these nerves"
"papillae","It's the term for the tiny projections on the surface of the tongue and at the roots of the hair"
"fungi","Mycology is the branch of biology that studies mushrooms, yeasts, molds, and other types of these"
"clotting","Fibrogen is a protein material that helps the blood in doing this"
"egg","Common term for a female gamete"
"fat","People usually refer to adipose tissue as this"
"skull","In any vertebrate, the occiput is the posterior part of this"
"ychromosome","In humans, this sex chromosome is present only in males"
"taste","Gustatory receptors are special cells that give you your sense of this"
"cones","In plants, they're reproductive structures; in humans, light-sensitive structures along with the rods"
"pituitarygland","The hypothalamus at the base of the brain controls the release of hormones by this ""master gland"
"taxonomy","One of the subdivisions of biology is this science dealing with the naming and classification of organisms"
"lungs","The visceral pleura is a thin, tough membrane that covers this pair of organs"
