"tokyo","The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland"
"bangkok","The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city"
"prague","We're not stringing you along: this capital of the Czech Republic is famous for its puppet theatres"
"nairobikenya","Jomo Kenyatta International Airport serves this world capital"
"rome","Andrea Palladio's 1554 book on ""The Antiquities of"" this city was the standard guidebook for some 200 years"
"gold","If you don't mind the cold, you can pan for this metal at Tankavaara in Finland"
"india","While visiting the city of Agra in this country, don't miss the Agra Fort and the Taj Mahal"
"roswell","The International UFO Museum and Research Center is in this New Mexico city where some say UFOs have landed"
"kentucky","To visit Abraham Lincoln's birthplace, you have to go to this U.S. state"
"madametussauds","This British wax museum famed for its chamber of horrors now has a time-traveling ride in it, too"
"golf","You can visit this sport's hall of fame on PGA Blvd. in Pinehurst, North Carolina"
"cairo","Except when it's on tour, the most important King Tut collection is housed in this city"
"chattanooga","You can spend the night in a Victorian style railroad car at the Choo Choo Hilton in this city"
"spaceneedle","On a clear day you can see 60 miles to Mount Rainier from the 520-foot observation deck of this Seattle tower"
"lascala","In 2001 you could have taken in performances of ""Il Grande Gatsby"" and ""Turandot"" at this famous opera house in Milan"
"egypt","Sand on the floor of the Virgin Islands' St. Thomas Synagogue commemorates the Israelites' escape from this country"
"caber","The tossing of this very heavy, long wooden pole is a highlight of Scotland's Highland Games"
"ice","A hotel in Scandinavia is destroyed every spring and rebuilt every fall as it is made out of this"
"morocco","Yves Saint Laurent owns the lush Jardins Majorelle in Marrakesh in this country"
"whitehouse","This James Hoban-designed D.C. landmark, lit by electricity in 1891, will offer candlelight tours in December 1999"
"cherryblossoms","April is the time to be in Japan; it's Hanami, the best time to view these, sakura"
"bombay","Red double-decker buses travel the streets of this city in India, now officially known as Mumbai"
"utah","Honeymooners might visit Bridal Veil Falls in Provo Canyon in this state"
"australia","Adventurous travelers can trek across this country's Kangaroo Island on camels"
"mexico","Fodor's says Americans stay in Ixtapa in this country because they can't pronounce Zihuatanejo"
"budapest","Game is served at Aranymokus Kertvendeglo (The Golden Squirrel Garden), a restaurant in this Magyar capital"
"paris","While vacationing in this city, you might stop by the Pere-Lachaise cemetery to pay your respects to Chopin and others"
"ukraine","Saskatoon has a museum devoted to the culture of this former Soviet republic, the largest country entirely in Europe"
"crete","Excurstions are available from this largest Greek island to Santorini, which some call the ""Lost Atlantis"
"bavaria","The Hofbrauhaus in Munich was once the royal court brewery of this German state"
"macao","About half of the visitors to this former Portuguese colony are mainland Chinese coming to gamble"
"saintpatrick","At the National Museum in Dublin you can see a bell reportedly used by this patron saint"
"elal","Not surprisingly, this Israeli national airline offers the most nonstop flights between Israel and the U.S."
"bolshoi","In Moscow's Teatralnaya Square, you can take in a show at this famous opera and ballet theater"
"tajmahal","Verses from the Koran decorate the walls of this marble tomb in Agra built by Shah Jahan for his late wife"
"trinidadtobago","Tourism is a growing industry in this pair of Caribbean islands known as TandT for short"
"stlouis","City that boasts the tallest U.S. monument, completed in 1965"
"boston","When visiting this New England capital, stop at Charlestown Navy Yard to see ""Old Ironsides"
"philadelphia","Open to the public, the U.S. Mint in this city stands near the site of its original 1792 building"
"littlemermaid","This bronze symbol of Copenhagen, located in its harbor, was designed by Edvard Eriksen"
"deadwood","The graves of Wild Bill Hickok and Calamity Jane can be seen at Mount Moriah Cemetery in this South Dakota city"
"kentucky","A popular tourist stop in this state is Natural Bridge in Daniel Boone National Forest"
"venice","A 2-mile stone bridge crossing an adriatic lagoon connects this Italian city with the mainland"
"copenhagen","Attractions in this European capital include Amalienborg Palace and The New Carlsberg Museum"
"katmandu","Lodgings in this capital city include the Hotel de L'annapurna and the Hotel Himalaya"
"newmexico","A state park in Columbus in this state is named for Pancho Villa"
"dublin","The James Joyce Cultural Centre in this Irish capital includes a library and a reading room"
"newjersey","Palisades Interstate Park lies in both New York and this state"
"jessejames","You can visit this outlaw's boyhood home in Kearney, Mo. and the home where he was killed in St. Joseph"
