"henryviii","He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing"
"martinluther","This leader of the Reformation was born in Eisleben, Saxony November 10, 1483"
"alexandra","Czars Nicholas I and Nicholas II married German princesses who used this first name as empress"
"naples","The Teatro San Carlo, one of Italy's largest opera houses, was built in this city by the bay in 1816"
"grimaldis","This ruling family of Monaco was deposed during the French Revolution, but regained the throne in 1814"
"limoges","This French city known for its porcelain was once the capital of the Lemovices, a Gallic tribe"
"prague","The movement to reform Communist Czechoslovakia in early 1968 was known as this city's ""spring"
"cyprus","Enosis isn't a disease, but the historic desire of people on this 3500-square-mile island for union with Greece"
"carolingian","9th century Breton hero Nomenoe rebelled against this dynasty named for Charlemagne"
"switzerland","The 1815 Congress of Vienna guaranteed this country's traditional neutrality"
"crete","After a 20-year siege, the Turks took control of this Greek island in 1669 and held it for over 200 years"
"greatbritain","This country got its bill of rights 100 years before our constitution was adopted"
"mariateresa","La Scala was built by order of this Austrian empress in 1776 when Milan was ruled by Austria"
"risorgimento","The name of this 19th century movement for Italian unification means ""rising again"
"lutheranism","In 1536 King Christian III established this protestant denomination as Denmark's state religion"
"macedonia","When this country gained independence from Yugoslavia in 1991, Greece objected to its name and flag"
"central","In WWI Germany, Austria-Hungary, Bulgaria and the Ottoman Empire were  known in the West as these ""Powers"
"florence","In 59 B.C. Julius Caesar established a colony on the Arno River which later became this Italian city"
"navarre","In 1589 Henry of this kingdom became Henry IV of France and began the Royal Bourbon dynasty"
"switzerland","In 1958, Basel became the first city in this country to approve women voting in local elections"
"monaco","The Franco-Monegasque Treaty of 1861 recognized the sovereignty of this country"
"yugoslavia","In 1991 Slovenia declared its independence from this country"
"austriahungary","In 1882, Italy joined the Triple Alliance with Germany and this dual monarchy"
"crete","Once the Turks took Eracleon in 1669 after a 20-year siege, this Greek island soon fell"
"blackshirts","In the 1930s the Brownshirts were Nazi thugs; Mussolini's Fascist goons were called this"
"lechwalesa","In 1990 he won a runoff election against Stanislaw Tyminski to win the presidency of Poland"
"hapsburgs","With few interrruptions, this family ruled the Holy Roman Empire for almost 400 years, from 1438-1806"
"zagreb","In the 1090s this Croat capital became the seat of a Roman Catholic bishopric"
"belgium","After a German blitzkrieg, this country's King Leopold III surrendered on May 28, 1940"
"queenbeatrix","Her son Willem-Alexander is the first male heir in the Netherlands' House of Orange since 1890"
"peloponnesianwar","This ancient Greek war named for a peninsula had 3 parts:  Archidamian, Peace of Nicias, and Ionian"
"charlesmartel","This grandfather of Charlemagne nailed the Moors at the Battle of Tours in 732, checking their advance"
