"carmen","Stationed in Seville, Don Jose is bewitched by a gypsy girl in this Bizet opera"
"richardwagner","Like many of his works, this composer's ""Tannhauser"" is based on Germanic legends"
"laboheme","Musetta has her very own waltz in Act II of this Puccini opera"
"frankenstein","A ""monster"" opera based on this Mary Shelley novel premiered in 1990"
"verdi","In 1872 this composer conducted his ""Aida"" at La Scala in Milan"
"williamtell","Part of this Rossini opera takes place on the shores of Lake Lucerne"
"latraviata","The name of this Verdi opera means ""The Fallen Woman"
"turandot","Puccini's last opera, it's set in Peking"
"pagliacci","This 1892 Leoncavallo work has a play within the opera"
"adragon","In ""Siegfried"" Fafner the giant is turned into one of these mythical beasts before Siegfried slays him"
"gilda","1st name shared by Rigoletto's daughter, a ""Saturday Night Live"" star and a R. Hayworth character"
"benjaminbritten","English composer whose 1947 opera ""Albert Herring"" is about a young man, not a young fish"
"met","In 1910 ""The Pipe of Desire"" became the first opera by an American produced at this NYC opera house"
"adoll","In ""The Tales of Hoffman"", Hoffman falls in love with Olympia, a mechanical one of these"
"stabbing","It's how Tosca kills Scarpia and Don Jose kills Carmen"
"lieutenantpinkerton","In ""Madama Butterfly"", this leading male character is a Naval lieutenant, not a detective"
"lascala","This Milan opera house has a secondary theater for chamber music"
"magicflute","This Mozart opera is set in part in the temple of Isis in Egypt"
"mariananderson","In 1956 this black contralto published her autobiography, ""My Lord, What A Morning"
"figaro","The ""marriage"" of this character to Susanna takes place in Count Almaviva's chateau"
"madamebutterfly","This opera's best-known aria is Cio-Cio-San's ""Un Bel Di Vedremo"
"carmen","Act I of this 1875 opera takes place in a Seville square near a cigarette factory"
"rigoletto","The title character in this Verdi opera is a hunchbacked jester"
"fidelio","Beethoven wrote 4 overtures for this opera"
"aduel","In ""Cavalleria Rusticana"", an ear gets bitten when Alfio challenges Turiddu to their fateful one of these"
"television","Gian Carlo Menotti's 1963 opera ""Labyrinth"" was written for this medium"
"verdi","Rigoletto"" prompted Rossini to say that at last he recognized this compser's genius"
"straussyounger","Count Bitowski leads the company in praise of the waltz in ""The Viennese Spirit"" by this composer"
"dasrheingold","This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3"
"faust","Mefistofele"" is based on this 1808 literary work"
"rigoletto","The Duke of Mantua's ""La donna e mobile"" is from this opera"
"fly","This 2008 opera is based partly on a 1986 David Cronenberg film"
