"toyota","The bestselling passenger car of all time is this company's Corolla"
"acarriage","The transport for a 19th century double date might have been a barouche, one of these"
"london","Cabbies in this Eur. city spend 2 years gaining ""the knowledge"", mental maps needed to get a license"
"bus","In ""Sixteen Candles"", Molly Ringwald says, ""I loathe"" this method of transport"
"mules","Since 1899 these stalwart animals used in transport have served as the mascots of the Army Corps of Cadets"
"ahelicopter","The twin rotor type of this has 2 main rotors going in opposite directions, so it doesn't need a tail rotor"
"forklifts","There are no knife or spoon varieties of these vehicles used in warehouses to raise and carry merchandise"
"asubmarine","The U.S. U-2, first built in the 1950s, was an airplane; the German U-1, first built in the 1910s, was one of these"
"englishchannel","In 1994 the trip across this body of water was cut from a little more than an hour to about 35 minutes"
"abattleship","The Kearsarge was the only one of these not named for a U.S. state"
"queenmary","On December 11, 1967 it was removed from the British registry and turned over to the city of Long Beach, California"
"steam","In 1830 England's Manchester and Liverpool Railway became the 1st to have all trains powered by this"
"troika","This light Russian sleigh is pulled by 3 horses"
"autobahn","The 1st of these high-speed German highways was opened between Cologne and Bonn in 1932"
"sampan","Smaller than a junk, this Oriental boat usually has a cabin with a roof made of mats"
"henryford","Surprisingly, the Cadillac Motor Car Co. was founded by and originally named for this man"
"mustang","Outcries by sports car fans convinced Ford to continue making this classic ""pony"" car"
"bicycles","In Beijing nearly everyone commutes to work on these vehicles"
"niagarafalls","If you're riding in the Maid of the Mist, you're sightseeing at this landmark"
"ohare","This major U.S. airport was built on an orchard, so it's abbreviated ""ORD"" on luggage tags"
"subway","The Metro Red Line, which began service in L.A. in 1993, is this form of transportation"
"nissan","It's the auto company that makes the Maxima and the Altima"
"jenny","It was the nickname of the Curtiss JN4, once used to carry air mail"
"aaa","This travel organization responds to almost 30 million emergency road service calls a year"
"panamacanal","Dedicated in 1962, the Thatcher Ferry Bridge spans the Pacific entrance to this canal"
"qe","Features on this luxury liner include the Grand Lounge and the Queens Grill, one of 5 gourmet restaurants"
"vancouver","In 1887 Canada's Transcontinental Railroad reached from Montreal to this west coast city"
"suezcanal","From Port Said to Al-Qantara, this canal passes through Lake Manzala, a lagoon"
"germany","Operating since 1901, this country's Schwebebahn is the oldest existing monorail"
"mahatmagandhi","During the Boer War, this Indian nationalist leader organized an ambulance corps for the British army"
"bicycles","In the Olympics these vehicles race on oval tracks called velodromes"
"eerosaarinen","In 1956 this Finnish-American architect designed the Trans World Airlines terminal at JFK Airport"
"monstertruck","Reptoid, seen here, is this type of vehicle; the fangs might be a clue"
