"mounteverest","To trek through its Khumbu Icefall, Lhotse Face and South Col, your team needs a $70,000 permit from Nepal's government"
"greenmountains","The Hoosac Mountains are a range of these ""colorful"" mountains located in Vermont"
"hawaii","The Waianae Mountains in this U.S. state rise up to 4,025-foot Mt. Kaala"
"russia","The Caucusus Mountains of Eastern Europe are predominantly found in this large country"
"andes","Geological evidence shows that this 5,000-mile mountain chain may extend south into Antarctica"
"mountrainier","In 1792 explorer George Vancouver saw this mountain near present-day Seattle and named it for a friend"
"active","(Sarah of the Clue Crew flying over Volcanoes National Park in Hawaii)  Kilauea Volcano isn't classified as extinct, dormant or intermittent, but is this type, so we'll stay alert"
"spain","Aneto in the Pyrenees is this country's highest point"
"kilimanjaro","Tanzania has 2 mountains over 14,000 feet: Meru and this one"
"matterhorn","This pyramid-shaped Alpine peak was first climbed on July 14, 1865 by Edward Whymper and 6 companions"
"montblanc","The name of this Alp, the highest in Western Europe, means ""white mountain"
"adirondackmountains","The name of this mountain range of Northeast New York comes from an Iroquois term meaning ""eater of tree bark"
"atlasmountains","At 13,665 feet, Mount Toubkal is the highest peak in this range in Africa"
"mountolympus","This Greek mountain's peaks include Mytikas, Skolio and the Throne of Zeus"
"mounteverest","Nepal's Sagarmatha National Park bears the local name of this peak which it surrounds"
"mountkilimanjaro","Of the summits of this Tanzanian mountain, Kibo is covered with ice and snow; Mawensi is usually clear"
"venezuela","Pico Bolivar, about 40 miles south of Lake Maracaibo, is this country's highest peak"
"lebanon","Mount Hermon, Syria's highest point, lies on its western border with this country"
"mounteverest","Jon Krakauer gave a personal account of the 1996 disaster on this mountain in the book ""Into Thin Air"
"sierranevadas","Yosemite National Park is located in this California mountain range"
"russia","This country's highest peak, Mount Elbrus, lies in the Caucasus Mountains on the Georgian border"
"mountpinatubo","This Philippine mountain hadn't erupted for more than 600 years when it became active in 1991"
"andes","South America's Apurimac and Marinon Rivers rise in the permanent snows and glaciers of this range"
"mtfuji","The southern slopes of this highest Japanese mountain extend to the shore of Suruga Bay"
"mtkilimanjaro","Coffee and bananas are grown on the lower slopes of this mountain, the highest in Africa"
"carpathianmountains","Both ends of this mountain chain between Romania and Slovakia lie on the Danube River"
"vesuvius","In 1794 a violent eruption of this volcano destroyed the city of Torre Del Greco on the Bay of Naples"
"mountetna","This Sicilian volcano is also called Mongibello"
"montblanc","In the early 1860s the Bisson brothers climbed to the top of this highest peak and took photos"
"caucasus","This mountain range forms most of Georgia's northern border with Russia"
"australia","The Flinders Ranges in this country extend about 300 miles from near Port Pirie to near Lake Eyre"
"andes","Bolivia's highest peak,  Sajama, lies in this range"
"pyrenees","They separate the Iberian Peninsula from the rest of Europe"
"matterhorn","It's been said that more climbers have died on this peak than any other in the Swiss Alps"
"apennines","Mount Vesuvius lies in this mountain range that stretches from the Gulf of Genoa to the toe of Italy's boot"
"atlasmountains","The Aures Mountains of Algeria are a part of this greater chain"
"andes","Mt. Chimborazo, whose summit is the farthest from the Earth's center, lies in Ecuador in these mountains"
"alps","The Zugspitze, Germany's highest peak, rises over 9,700 feet in the Bavarian chain of these mountains"
"ireland","This country's highest mountain is Carrantuohill, part of Macgillicuddy's Reeks"
"cascades","Mount Shasta in California and Mount Rainier in Washington are the highest peaks in this range"
"yukon","Mt. Logan, Canada's highest peak, lies in the St. Elias range in this territory"
"blindness","In May 2001 Erik Weihenmayer climbed Everest, not considering this condition of his a handicap"
"mountfuji","Its southern slope extends down to Suruga Bay near Tokyo"
"rockymountains","It's the mountain chain in the names of a U.S. sheep and goat"
"adirondacks","The Hudson River rises in this group of mountains in northeast New York"
"cedars","The Lebanon Mountains' most famous remaining grove of these trees is near the town of Bsharre"
"colorado","The highest point in this state is Mount Elbert, not Pikes Peak"
"africa","If you search your atlas for the Atlas Mountains, you'll find them on a map of this continent"
"switzerland","The Matterhorn isn't the tallest Alp in this country; Dufourspitze Peak is about 500 ft. higher"
"elcapitan","Climbers are challenged by the sheer face of this granite monolith rising 3,593 ft. above Yosemite Valley"
"nepaltibet","Mount Everest is located on an undemarcated border between these 2 countries"
"sicily","The region around Mount Etna is this island's most heavily populated"
"philippines","Mount Apo is an active volcano on this nation's island of Mindanao"
"mountwhitney","This 14,494-foot California peak was named for a California state geologist"
"mountkenya","This second-tallest African peak is about 70 miles from Nairobi"
"volcano","Indonesia's Mount Marapi, whose name means ""fire mountain"", is one of these"
"rhodes","As the highest peak, 4,000-foot Ataviros could be called the colossus of this Greek island"
"deathvalley","The wind-blocking Panamint Range helps keep this lowest area of the U.S. hot and dry"
"whitemountain","The names Mont Blanc and the Rockies' Blanca Peak both mean this"
"rockies","At 14,433 feet, Colorado's Mount Elbert is the highest peak in this mountain chain"
"fuji","Lake Kawaguchi is famous for its inverted reflection of this peak on its still waters"
"mountararat","Now dormant, this volcano in Eastern Turkey last erupted on June 2, 1840"
"carpathians","This range forms an arc from Slovakia to Romania with both ends lying on the Danube river"
"mteverest","In 1963 Jim Whittaker became the first American to reach the summit of this 29,035-foot mountain"
"switzerland","31 of Europe's 40 highest mountains lie within this nation or on its borders"
"mtfuji","This volcano about 60 miles west of Tokyo last erupted in 1707 but is still listed as active"
"mtsinai","You can reach the top of this biblical mountain by taking the path of Moses, a stairway of nearly 4,000 steps"
"mountararat","Air Force photos from 1949 show what some believe are the ruins of Noah's Ark on this Turkish mountain"
"mountfuji","Seen here is one of Hokusai's famous wood-block prints of this mountain"
"greece","The Pindus Mountains of this country separate Thessaly from Epirus"
