"nile","There are Blue and White branches of this African river"
"philippines","VP Garret Hobart cast the deciding vote against independence for these formerly Spanish Pacific islands"
"nobelprize","In 2001 Sweden and the U.S. honored this award's 100th anniversary with a set of postage stamps"
"mattresses","Select Comfort Corporation makes these with adjustable firmness"
"red","On an NHL rink, it's the color of the center line"
"july","In 2003 a nationwide Free Slurpee Day was on this date"
"honeysuckle","This flower got its name from the belief that bees got a sweet substance out of it"
"fable","It's a synonym for a lie as well as the type of tale told by Aesop"
"parsley","Persil is the French word for this ever-popular garnish"
"maggots","Using a 200-year-old technique, a V.A. hospital in Long Beach, Calif. has utilized these fly larvae to treat patients"
"mimes","For one game, minor league baseball's St. Paul Saints used these on top of the dugout to reenact big plays"
"stealing","Kleptophobia is the fear of doing this; if you wanted to do it all the time you'd be a kleptomaniac"
"napolon","In 1803 this emperor's youngest brother, Jerome, married an American teenager in Baltimore"
"tomorrowland","Discoveryland is Euro Disney's equivalent of this futuristic land found in Disneyland and Disney World"
"piccolo","The French call this musical instrument la petite flute"
"giacomopuccini","Museita's Waltz"" is a highlight of this composer's 1896 opera ""La boheme"
"adaisy","A special flower for April, it can be oxeye or shasta"
"frenchs","Contrary to its name, this yellow mustard brand introduced in 1904 is American"
"lint","Heloise says to remove this from the screen in the clothes dryer and toss it to the birds; they'll use it in their nests"
"calamityjane","She was born Martha Jane Canary in Missouri; the original ""calamity"" in her life may have been her parents' death"
"navajo","A G.I. Joe introduced in 2000 is supposed to be one of these Native Americans who were code talkers in WWII"
"harlem","Arthur Mitchell and Karel Shook co-founded the Dance Theatre of this place"
"litterbox","If you have a cat, make sure to clean out this box regularly"
"cake","Devil's food and angel food are types of this dessert"
"basketball","Double-dribbling and shooting air balls are undesirable activities in this sport"
"red","Financially, you want to avoid this color ink -- that means a deficit"
"substitute","From the Latin for ""put in place of"", it's the kind of teacher who may get a hard time from your class"
"grain","The pattern of the fibrous tissue in wood, it's tough to go against it"
"abarrel","Staves are bound to form one of these containers of rather fun monkeys"
"viennawoods","Completes the title of the Strauss waltz ""Tales from the..."
"timberwolf","The gray wolf can also be found lumbering around under this name"
"cabertoss","The object in this Scottish Highland game is to make sure the log leaves your hands and travels straight"
"western","The 2 basic types of saddles are English and this type preferred by cowboys"
"rook","This chess piece that usually looks like part of a castle is sometimes called a castle"
"nonagenarian","Specifically, this 12-letter word describes a person between 90 and 100 years old"
"jambalaya","This Creole concoction of meat and seafood is so good Hank Williams wrote a song about it in 1952"
"midori","Goto is the surname of the young Osaka-born violinist known by this single name"
"marilynmonroe","When asked if she wore falsies, this '50s sex symbol said, ""Those who know me better, know better"
"stalactitesstalagmites","These 2 words for conical deposits found in caverns come from the Greek ""stalassein"", meaning ""to drip"
"filament","The stalklike part of a stamen, or the threadlike conductor in a light bulb"
"virginia","Wines from this state include Chesapeake Blanc, Plantation Blush and James River White"
"anhourglass","Keeping the ""bells"" comes from early practice of a sailor having to turn this over every 30 minutes"
"god","While Agnus Dei refers to Christ, it actually means ""lamb of"" this"
"grant","Would Cary with this last name have seemed as suave if he'd gained fame as Archibald Leach?"
"mi","It's the syllable used for the third tone of any major diatonic scale"
"serenity","The moon has a Sea of Tranquility and a Sea of this, a synonym of tranquility"
"courage","This word that means bravery or valor comes from the Latin for ""heart"
"closedcaptions","In 1993 the FCC required analog TVs sold in the U.S. to display this to help the deaf and the non-English speaking"
"enter","By definition, it's what you do at an ingress"
"tippihedren","Timbo the elephant lived at Shambala, the retreat of this former Hitchcock movie actress, and liked when she fed him Clorets"
"acidreflux","If Simon LeBon had stomach acid going up his esophagus and causing heartburn, he'd be suffering this"
"honeypot","8-letter term for a jug of Pooh's favorite stuff, or for the wax structure that a queen bee builds to store her nectar"
"et","MCA Home Video has sold over 15 million copies of this movie, calling it the all-time top-selling video"
"johnfogerty","In November 1988 this former leader of CCR was acquitted of plagiarizing -- himself"
