"australia","Large aboriginal populations live in this country's states of Queensland and New South Wales"
"egypt","Administrative units in this country include Giza, Aswan and Suez"
"tagus","This longest river on the Iberian Peninsula is also known as the Tajo"
"angola","Cabinda, an area of this former Portuguese colony, is separated from the rest of it by Zaire"
"thardesert","The Indus River provides the western border of this desert also known as the Great Indian Desert"
"portugal","This country is named after the town of Oporto"
"riverjordan","The Sea of Galilee is just a broad basin of this river"
"lakebaikal","The surface of this lake in Siberia is about 1,490 ft. above sea level, the bottom over 5,300 ft. below"
"australia","Papua New Guinea is just off this country's Cape York Peninsula"
"australia","It's the lowest, flattest and smallest continent"
"thames","Abingdon, Windsor, Gravesend and Southend-On-Sea are on this European river"
"mexicocity","City that stands on the ruins of Tenochtitlan, the capital of the Aztec people"
"tibet","The highest airport in the world is Lhasa Airport in this country"
"reykjavikiceland","The hot water heating of this northern European capital is drawn directly from underground springs"
"china","Of the 4 largest Asian countries in area, it's the only one that borders the other 3"
"cairo","Lying on the east bank of the Nile, Tahrir Square is the center of this capital's downtown"
"algiers","This Algerian port's old city is dominated by the Casbah"
"mountetna","The first recorded eruption of this Sicilian volcano occurred in about 1500 B.C."
"alberta","The westernmost of Canada's prairie provinces, it produces most of the country's crude oil and natural gas"
"sthelena","This ""saintly"" island of Napoleon's death was named for Constantine the Great's mother"
"yugoslavia","This country's name means ""Land of the Southern Slavs"
"baltic","The Gulf of Bothnia and the Gulf of Finland are both extensions of this sea"
"sargassosea","This sea in the North Atlantic is delineated only by the plants that float on its surface"
"paricutin","In 1943 this Mexican volcano grew from a small depression to 1,000 ft. in height"
"wales","Cardigan Bay indents the coastline of this United Kingdom principality"
"australia","The redundant-sounding Townsville, in this country's Queensland state, was named for Robert Towns"
"laos","The Mekong River provides transportation for this landlocked Indochinese nation"
"nigeria","Lagos, Ibadan and Ogbomosho are the largest cities of this West African nation"
"uruguay","A daily hydrofoil crosses the Rio de la Plata from Buenos Aires to Colonia in this country"
"interlakenswitzerland","You can view the Jungfrau Peak from the main street of this town between the Brienz and Thun Lakes"
"nile","From Burundi to the Mediterranean, this longest river flows through 35 degrees of latitude"
"netherlandsholland","Productive farmland in this European country lies in the polders, land reclaimed from the sea"
"blacksea","This sea provides most of Turkey's northern border"
"jutland","Arhus is the largest city on this Danish peninsula"
"caracas","An autopiste, or superhighway, connects this Venezuelan capital with the port of La Guaira"
"bergen","Norway's 2nd-largest city; it was once known as Bjorgvin, or ""hill pasture"
"manitoba","It's the easternmost of Canada's three prairie provinces"
"killarney","In Ireland, Muckross Lake, Upper Lake and Lower Lake are collectively known as ""The Lakes of"" this"
"atlanticocean","Several currents flow through this ocean, including the Brazil Current and the Labrador Current"
"persiangulf","Kuwait's largest island, Bubiyan, lies in this gulf"
"po","The valley of this river is also called the North Italian Plain"
"caspiansea","The lowest point in Iran is 92 feet below sea level at the shore of this body of water on its northern border"
"elsalvador","It's the only Central American country that does not border the Caribbean"
"canada","It's the only mainland country in the Western Hemisphere that borders only one country"
"newzealand","Before Europeans named Mt. Cook in this country, the Maori called it Aorangi, or ""cloud piercer"
"vietnam","Soc Trang and Can Tho are in the south of this Asian nation"
"adriatic","Krk Island, the northernmost island in the Mediterranean, lies in this arm of the sea next to the Balkans"
"qatar","This emirate NW of the United Arab Emirates is on a peninsula jutting 100 miles northward into the Persian Gulf"
"liberia","At the beginning of World War I, this was the only independent nation in West Africa"
"macau","Heads of state Jiang Zemin and Jorge Sampaio were on hand when this territory changed hands in Dec. 1999"
"lochness","This narrow lake, part of Scotland's Caledonian Canal, is home to a famous monster"
"nile","This longest river on Earth flows into the Mediterranean Sea"
"mountvesuvius","Birnbaum's Travel Guide calls this volcano the terror and pride of Naples"
"newmexico","The first atomic bomb was exploded in 1945 near Alamogordo in this state"
"antarctica","This continent's Polyus Nedostupnosti, the pole of inaccessibility, is Guinness' coldest place"
"danube","Major tributaries of this beautiful blue river include the Inn of Austria and Germany and the Tisza of Hungary"
"lakelouise","This lake in Banff National Park was named for Queen Victoria's fourth daughter"
"africa","The Atlantic and Indian Oceans are separated by a line from Antarctica to Cape Agulhas on this continent"
"crimeanpeninsula","The 4-mile-wide Perekop Isthmus connects the Ukranian mainland with this peninsula"
"mozambique","Once Portugal's colony, this country is separated from Madagascar by a channel of the same name"
"panamacanal","This canal's official opening was on July 12,1920"
"tunisia","Africa's northernmost country, it was once site of ancient Carthaginian empire"
