"algeria","More than 250,000 died in fighting before France granted this African nation independence July 3, 1962"
"catherinegreat","In 1784 she founded the city of Sevastopol in her new domain of the Crimea"
"canada","This dominion was created by the British North America Act on July 1, 1867"
"italy","On May 9, 1946 this country's King Victor Emmanuel abdicated in favor of his son Umberto"
"holstein","In 1864 Austria and Prussia went to war with Denmark, winning Schleswig and this duchy"
"greece","In 1832 Otto, a Bavarian prince, was named the first king of this Balkan country"
"mexicocity","City that was the seat of government of the viceroyalty of New Spain"
"sicily","In the first Punic War, Rome conquered Corsica, Sardinia and this largest island of the Mediterranean"
"casablanca","At a 1943 meeting in this N. African city, FDR and Churchill agreed to an invasion of ""the soft underbelly of the Axis"
"nile","On August 1, 1798 Admiral Nelson delivered a fatal blow to the French fleet near the Rosetta mouth of this river"
"india","In 1961 this Asian country invaded the small colonies of Daman, Diu and Goa, and defeated the Portuguese"
"augsburg","In 1530 a statement of faith, or ""confession"", was issued from this German city named for a Roman Emperor"
"france","This country's King Louis IV was nicknamed ""Louis From Overseas"" because he was raised in England"
"canterbury","William Laud, an archbishop of this who opposed the Puritans, was beheaded on Tower Hill in 1645"
"genghiskhan","The first of this Mongol conqueror's many wives was Borte, to whom he was betrothed as a child"
"caligula","Born in 12 A.D., this cruel and unbalanced Roman emperor was a great-grandson of Mark Antony"
"oman","The Portuguese captured Muscat, now the capital of this sultanate, c. 1508 but were driven out in 1650"
"pakistanindia","One of history's largest refugee migrations, about 15 million people, took place 1947-1951 between these 2 countries"
"rome","This ancient city grew powerful in part because the Tiber provides a convenient route to the sea 15 miles away"
"prussia","In 1871 the Treaty of Frankfurt ended the war between France and this German state, led by Bismarck"
"tarirsquare","This Cairo square was the heart of the 18 days of protest that toppled Egyptian leader Hosni Mubarak in 2011"
"showtrials","Zinoviev and Pyatakov were 2 victims of the 1930s proceedings called these trials due to their being public"
"china","During the Tang dynasty, 618 to 907, Chang'an in this country was the most populous city in the world"
"monaco","The Grimaldi family first gained control of this country in 1297"
"iceland","In 1944 this island country severed all its formal ties with Denmark and became a republic"
"simonbolivar","In December 1812 this Venezuelan wrote the ""Cartagena Manifesto"", a famous essay on independence"
"richardlionhearted","In 1199 this crusader king of England was mortally wounded while besieging the castle of Chalus"
"attila","In 447 he and his band of Huns devastated the area between the Mediterranean and Black Seas"
"belgium","In 1971 this country's constitution set up 3 cultural regions:  Flanders, Wallonia, and Brussels"
"lawrence","In 1910 this British scholar and army officer explored Syria on foot"
"victoremmanuel","From 1849 to 1861, he ruled the kingdom of Sardinia"
"niger","Mungo Park disappeared in 1806 while exploring this west African river"
"suezcanal","An 1888 treaty said this canal was neutral and would remain open even during a war"
"catherinegreat","The day America declared its independence, this person was on the throne of Russia"
"alexandria","Sostratus of Cnidus built this city's famous lighthouse in the early 3rd century B.C."
"venerablebede","This monk who died in 735 got the info for his history of England through correspondence"
"bee","Have you heard the latest buzz? The Mayans domesticated this native insect"
"jason","Thessaly, the land from which this Argonaut leader set out, also had a 4th century B.C. ruler of that name"
"padua","In 601 the Lombards destroyed this Italian city, home to a shrewish Kate, but it made a quick comeback"
"cromwell","Both Lord Protectors of Great Britain, Oliver and Richard had this last name"
"turkey","The Montreux Convention of 1936 recognized this country's right to fortify the Dardanelles"
"lusitania","This liner was sunk by the submarine U-20 on May 7, 1915"
"haiti","Former slave Jean-Jacque Dessalines ruled this country as emperor Jacque I from 1804-1806"
"agincourt","England's Henry V won this battle in France on St. Christan's Day in 1415"
"winstonchurchill","In 1963 this former British P.M. became an honorary citizen of the U.S. by an act of Congress"
"louisxvi","This French king was condemned in mid-January 1793 and was executed January 21"
"valentinatereshkova","On June 16, 1963 she blasted into orbit, joining Valery Bykovsky who had been launched 2 days earlier"
"hitler","Briefly, in 1945, Karl Doenitz succeeded this man as Fuhrer of Germany"
"libya","Until a 1969 coup by Muammar al-Qaddafi, King Idris had ruled this country for 18 years"
"pyongyang","In the Korean War, U.N. forces captured this North Korean capital Ocrober 19, 1950"
"haroldii","In 1066 he became the last Saxon king to rule England"
"tasmania","When Abel Tasman discovered this island in 1642, he called it Van Diemen's Land"
"peloponnesianwar","In 405 B.C. Spartan commander Lysander won the final victory over the Athenians in this war"
"hanseaticleague","In 1358 Lubeck, on the Baltic coast, became the headquarters of this league"
"christophercolumbus","Ferdinand and Isabella promised to make him ""Admiral of the Ocean Sea"" if he was successful in his 1492 voyage"
"johannesgutenberg","In 1455 Johann Fust won a judgment against this printer and took the type used to print his famous Bible"
"poland","In 1795 Austria, Prussia and Russia partitioned this country, eliminating its existence"
"louisxiv","At the death of Cardinal Mazarin in 1661, this French king declared that he would serve as his own prime minister"
"carthage","This ancient north African city-state was protected by a high wall about 23 miles in length"
"marcopolo","In 1271 he left Venice for the Far East with his father and uncle; 24 years later, he finally made it back home"
"kosovo","On Feb. 18, 2008 the U.S. recognized this new Balkan state"
"serfs","In a 1587 edict, Boris Godunov bound these to the land they worked on by forbidding their trade"
"maya","Cities like Copan thrived in this Mesoamerican civilization's Classic Period, until about 900"
"hispaniola","J.J. Dessalines, who bore scars from his master's whip, wanted to kill all whites on his island, now called this"
"lenin","After his death on January 21, 1924, Stalin and Trotsky struggled for power in the USSR"
"denmark","As a result of the Congress of Vienna in 1835, Sweden received Norway from this country"
"morocco","Signed in 1912, the Treaty of Fez established this African country as a French protectorate"
"japan","Portuguese sailors off course in a 1543 storm became the 1st Europeans to land in this Asian island country"
"frederickgreat","This Prussian ruler's invasion of Silesia in 1740 led to the War of the Austrian Succession"
"haiti","In 1804 this Caribbean country became 1st black nation to gain freedom from European colonial rule"
"saudiarabia","Beginning in 1932 all this country's kings have been the country's founder or his sons"
"shetlandislands","In 1472 this island group known for its pony and sheepdog was annexed to Scotland"
"moors","The Visigoth Empire went out of business in 711 when it was defeated by this north African group in Spain"
"industrialrevolution","Term for the period in England from 1760 to 1840 during which steam power and big factories came into vogue"
"crete","4,000 years ago, this island was starting its middle Minoan period"
"koreanwar","An armistice to end this war was signed at Panmunjom in July 1953"
"cyprus","A Greek military coup in 1974 briefly deposed Archbishop Makarios, president of this island nation"
"iberianpeninsula","A phase of the Napoleonic Wars, The Peninsular War, 1808-1814, was fought on this peninsula"
"egypt","In 1250 the Mamelukes, originally slaves, seized control of this African country and ruled until 1517"
"blarney","This Irish castle famous for its ""stone"" was built by Cormac MacCarthy about 1446"
"maximilian","In 1863 Napoleon III persuaded this Archduke to become Emperor of Mexico"
"crimeanwar","In 1853 Turkey declared war on Russia, beginning this conflict"
"benitomussolini","King Victor Emmanuel III appionted him prime minister of Italy in 1922"
"sorbonne","This Parisian school was founded as a college of theology in 1253"
"finland","This N. European country was a grand duchy ruled by Russia before gaining its independence in 1917"
"poland","A 1795 partition ended its existence as a separate state in E. Europe; in 1918 it was back as a republic"
"china","In 220 this country's Han dynasty was overthrown, beginning the period of disunity"
"southafrica","In 1920 the League of Nations gave this neighboring country a mandate over the territory of Namibia"
"poland","In 1025 Boleslaw I became this country's first king but died within the year"
"pakistan","In July 1977 the military took over this nation and Gen. Zia ul-Haq became chief martial law administrator"
"erikred","Around 981 this explorer was banned from Iceland for 3 years for killing a neighbor in a feud"
"mikhailgorbachev","From Aug. 19 to 21, 1991, this leader was placed under house arrest during an attempted coup by hardliners"
"indonesia","In 1969 West Irians voted to remain a part of this nation, and the U.N. recognized its control of Irian Jaya"
"catherinehoward","The last of Henry VIII's wives to be beheaded, she was accused of adultery and 2 of her lovers were beheaded as well"
"anelephant","Surus was the last known one of these to survive a mountain crossing in the 3rd century B.C."
"vietnam","The Geneva Accords of 1954 split this SE Asian country in 2 at 17 degrees North latitude"
"spartacus","In 73 B.C. this Thracian gladiator began a 2-year slave revolt against Roman rule"
"ottomanempire","Called the ""Sick Man of Europe"" in the early 20th century, this empire collapsed just after WWI"
"wilhelmina","During World War II, this queen of the Netherlands headed her government-in-exile from London"
"ruhr","In 1923 France and Belgium occupied this German industrial region named for a Rhine tributary"
"germany","The city of Leipzig, now in this country, was the site of an 1813 battle called the greatest clash of arms before WWI"
"bangladesh","In the first major charity event of its kind, a concert was held Aug. 1, 1971 to raise money for this country"
"poland","Ruling from 1764 to 1795, Stanislaus II was the last king of this country"
"japan","In 1910 Korea was annexed by this country that held it for the next 35 years"
"finland","In the 1939-1940 ""Winter War"", the vast Soviet war machine was unleashed against this smaller country"
"armada","On August 8, 1588, the English defeated this fleet of Philip II at the Battle of Gravelines"
"petergreat","This ""Great"" Russian czar's 43-year reign, 1682-1725, was the longest in the Romanov line"
"polos","In 1292 this family of Venetian explorers escorted a Mongol princess to Persia"
"mogulempire","In the mid-1500s Akbar the Great, son of Humayun, ruler of Delhi, reigned over this empire in India"
"elalamein","In October 1942 General Bernard Montgomery defeated the Germans at this Egyptian city"
"cairo","In 969 the Fatimids conquered Egypt and made this city a center of the Muslim world"
"southamerica","In 1776 Spain created a colony called the Viceroyalty of the Rio De La Plata on this continent"
"cambodia","In 1960 Prince Norodom Sihanouk became leader of this country, but declined the title of king"
"williambaffin","In 1615 this explorer who has a large island and bay named for him searched for the Northwest Passage"
"friedrichengels","He completed vols. 2 and 3 of Karl Marx's ""Das Kapital"
"benitomussolini","After being expelled as editor of the Socialist ""Avanti"" in 1914, he founded his own fascist paper"
"hernandocortez","When this conquistador arrived in Mexico in 1519, Aztecs believed he was the god Quetzalcoatl"
"jacobinclub","This radical ""club"" led by Robespierre came to power in 1793 and began the Reign of Terror"
"crimeanwar","Most of the fighting during this war in the 1850s took place near the Russian port of Sevastopol"
"poland","In 1981 Wojciech Jaruzelski established martial law in this country and outlawed Solidarity"
"commonmarket","Great Britain was twice rejected for membership in this economic union; it became a member in 1973"
"bourgeoisie","The middle class that arose in medieval society was called burgesses in England and this in France"
"lamaism","Around 1400 Tsong-kha-pa founded the Yellow Hat order of this Tibetan form of Buddhism"
"sicily","The allies began the invasion of Italy on July 10, 1943 by landing on this island"
"australia","In 1606, Willem Janszoon landed on Cape York Peninsula, becoming the 1st European to visit this continent"
"belgium","In 1885 this country's Leopold II established the Congo Free State as his own personal property"
"blackhand","Archduke Franz Ferdinand's assassin, Gavrilo Princip, was a member of this ""dark"" Serbian terrorist group"
"mariateresa","The Pragmatic Sanction gave this Holy Roman Empress the legal right to inherit her father's territories"
"napoleon","In 1785 this future French emperor graduated from military school in Paris, 42nd in his class of 58"
"magnacarta","Barons and churchmen drew up this 1215 document to reduce the power of England's King John"
"cortes","In 1519 he and his men landed at Tabasco and began the Spanish conquest of Mexico"
"addisababa","In 1936 Italy conquered this Ethiopian capital and Haile Selassie fled to Great Britain"
"admiralbyrd","In this mid-1930s this U.S. naval officer chartered the Edsel Ford mountains in Antarctica"
"lusitania","It took about 20 minutes for this British liner to sink after it was torpedoed by a German U-boat on May 7, 1915"
"boerwar","Winston Churchill was imprisoned in Pretoria during this war but made a daring escape in 1899"
"ericred","In 982 he sailed from Iceland to Greenland with his household and livestock"
"elba","In 1814 and 1815 Napoleon ruled this island as a principality"
"london","The U.N. General Assembly held its first meeting on January 10, 1946 in this European capital"
"redchina","In 1967 this country exploded its 1st H-bomb at its Lob Nor test site in Sinkiang province"
"louisxiv","A civil war in Paris during his youth convinced this king to build his palace at Versailles"
"mexico","Long the ruling party in this country, the PRI won the 1988 election by its lowest margin ever"
"parthenon","The 1st great building of the Acropolis was this one built between 447-438 B.C."
"amundsenscott","In a famous race, these 2 men reached the South Pole, 1 in December 1911, the other 5 weeks later"
"netherlandsholland","In 1826 this Low Country established its first tea plantations on Java"
"lordnelson","Before the Battle of Trafalgar, he told his fleet, ""England expects every man will do his duty"
"hungary","Stephen I, the son of a Magyar prince, became king of this country in 1000 A.D."
"southafrica","In 1920 the League of Nations gave this country a mandate to administer the territory of Namibia"
"israel","In 1981 this country formally annexed the Golan Heights, land it had held militarily since 1967"
"philippines","Magellan visited these islands in 1521; MacArthur visited them in 1942, then returned in 1944"
"sweden","After a 22-year reign, this country's Queen Christina abdicated June 6, 1654"
"opiumwars","The 1842 Treaty of Nanking ended the first of these ""drug"" wars"
"marshallplan","The European recovery program following WWII was also called this, for its originator"
"balkanleague","The 1912 alliance of Bulgaria, Serbia, Greece and Montenegro was known as this league"
"mausoleum","After the king of Caria died in 353 B.C., his widow had this memorial built at Halicarnassus"
"bahrain","After oil was found there in 1932, this island nation became the Persian Gulf's first oil-rich state"
"williamconqueror","The history of the Tower of London goes back to the fortress built by this conqueror"
"galileo","In 1633 he was brought before the Inquisition for believing the doctrine of the Earth moving around the sun"
