"giantpanda","The genus of this Asian animal is Ailuropoda, and its species name, appropriately, is melanoleuca"
"polarbear","This Arctic bear's feet are webbed and have hairy soles"
"swans","Large feral populations of the ""mute"" species of this long-necked bird inhabit the Mid-Atlantic coast"
"piranha","The silver dollar fish resembles this feared fish of the Amazon basin but is strictly herbivorous"
"cheeks","A pocket gopher's pockets are fur-lined and located in these"
"baleenwhales","Scientists divide these toothless whales into 3 groups: right whales, gray whales and rorquals"
"wings","A bat's hands serve as these"
"eyes","On a true sole both of these are on the right side of the head"
"gecko","Lizard that's noted for its ability to walk on ceilings"
"antelope","The South African rhebok is not an athletic shoe but a species of this"
"sloths","With ancestors as big as elephants, these slow beasts now just hang upside down in trees"
"bullfrog","With hind legs reaching up to 10 inches, it's the largest frog in the U.S."
"mongoose","This cobra killer was introduced into the Western Hemisphere to kill rats but has done more harm to birds"
"armadillo","Species of this mammal living in South America include 6-banded, 3-banded and giant"
"lemur","The name of this primate confined to Madagascar and the Comoros is from the Latin for ""nocturnal spirits"
"stork","The macabou type of this bird may have a wingspan greater than 9 feet"
"chimpanzee","This animal's name is from Bantu for ""mock man"
"sight","In the marsupial mole, hearing and this sense are poorly developed"
"raccoon","In the mistaken belief that it washes its food, it was given the scientific name lotor, meaning ""washer"
"mongoose","The Indian species of this cobra killer can be tamed when young"
"fiddlercrab","In this type of crab, the male has a large claw and waves it like a violinist's bow"
"madagascar","Extinct for hundreds of years, the elephant bird weighed 1,000 pounds and lived on this east African island"
"amole","A type of cricket that mainly lives underground is named for this tiny-eyed mammal"
"aspider","The male redback type of this creature, 1/3 the size of the female, dies happy if you know what I mean"
"jackal","Newborn gazelles are a favorite prey of the black-backed species of this canine"
"terrier","The silky and Yorkshire are toy breeds of this dog"
"wildebeest","Perhaps referring to its erratic behavior, the gnu is also called this"
"jerseyguernsey","The 2 popular breeds of dairy cattle named for Britain's 2 largest Channel Islands"
"shark","Up to 50 feet in length, the whale species of this fish is the largest in the sea"
"stoatweasel","In summer, when its coat is brown, the ermine is referred to by this name"
"hippopotamus","The German name for this animal is nilpferd, or ""Nile horse"
"white","If a weasel pops by for lunch in the cold winter, you'll notice its coat is this color"
"ducks","Dabbling types of these include the pintail and teal"
"thief","The word mouse is from a Sanskrit word for this, because they stole people's food"
"cats","If you spot several servals slinking south of the Sahara, you'll see slender types of these animals"
"eagle","The monkey-eating species of this bird lives in the Philippines; the bald species lives in the U.S."
"penguin","These birds range in size from the 1-foot blue to the 4-foot emperor"
"camel","It has webbed, padded toes and can drink over 20 gallons of water in a single drink"
"hippopotamus","This land animal can weigh more than 8,000 pounds and can open its immense jaws 150 degrees"
"bulls","LIke other male bovines, adult male yaks are called these"
"horse","A hinny has an ass for a mother and one of these animals for a father"
"tail","To escape predators, many lizards break off this body part; it later regenerates"
"scorpions","These stinging arachnids give birth to live young which cling to their mother's backs for several days"
"wolverine","This bear-like carnivore, a large member of the weasel family, is also known as the glutton"
"bamboo","The World Wildlife Fund is working with the Chinese on a detailed survey of pandas and this, their only food"
"vultures","Some of these birds have bald heads and necks, which prevents feather damage when eating from carcasses"
"lynxes","In Canada, the population of these tufted-eared wildcats depends on the population of snowshoe rabbits"
"alligators","Caimans are most closely related to these animals"
"chameleon","The fact that this lizard's name is from the Greek for ""ground lion"" never changes"
"antelope","The suni, a small one of these graceful African mammals, is barely 15 inches high"
"wombat","The common type of this marsupial has coarse, thick fur while that of the hairy-nosed is short and silky"
"whoopingcrane","This bird's whooping call is said to carry 2 miles, and its courtship displays include a leaping dance"
"penguin","We'd like to see David Blaine vs. this flightless bird in a breath-holding contest (some can go 22 min. underwater)"
"tasmaniandevil","This ""demonic"" marsupial is extinct from the Aussie mainland but still lives close by"
"giraffe","Because of the requirements in pumping blood to its brain, it has the highest blood pressure of any living animal"
"duckbill","Facial feature mentioned in the longer version of the platypus' name"
"tadpoles","A female bullfrog may lay 10,000 eggs that hatch into these, which may take 2 years to grow into bullfrogs"
"mask","Newborn raccoons lack the familiar tail rings and this famous facial feature"
"adeer","One variety of the white-tailed species of this lives in the Florida Keys and weighs only 50 to 75 pounds"
"porcupine","Most of the quills on the thin-spined species of this rodent are on its head"
"frogs","The ornate chorus species of these tailless amphibians are less than 2"" in length"
"agibbon","The siamang of Sumatra and Malaysia is the largest type of this smallest ape"
"spermwhale","This largest toothed whale is also called a cachalot"
"shell","The upper part of this turtle feature is called the carapace"
"mate","A drone bee's only purpose in life is to do this with the queen and they do it in flight"
"england","The bulldog is a symbol of this country where it was developed"
"sight","Of sight, hearing, or smell, the sense that is best developed in most seals"
"bactrianhumped","The 2 species of camel are the Arabian, also called the dromedary and this"
