"honolulu","A statue of King Kamehameha I stands guard outside the judiciary building in this capital city"
"hartford","From 1701 to 1875 New Haven and this city were twin capitals of Connecticut; today it's the only one"
"richmond","The capitol building in this city was designed by Thomas Jefferson"
"littlerock","The French called a land formation La Petite Roche, thus giving this capital its name"
"montpelier","This state capital is in the Green Mountains along the Winooski River"
"boston","No beans about it, this capital is the largest city in New England"
"stpaul","This twin city is the capital of Minnesota"
"honolulu","It's nicknamed the ""Center of the Pineapple Industry"
"trenton","A 150-foot-high battle monument in this New Jersey capital marks the site of a famous Revolutionary War battle"
"indianapolis","Every Memorial Day weekend, this city hosts its famous 500 auto race"
"honolulu","The Kodak Hula Show in this city is celebrating its 60th anniversary in 1997"
"dover","This seat of Kent County, Delaware is named for a city in England's county of Kent"
"batonrouge","Magnolia Mound Plantation, an old Creole home, is a tourist attraction in this city"
"santafe","The Pueblo Revolt drove the Spanish out of this city in 1680, but they returned in 1692"
"carsoncity","Appropriately, the capitol building in this capital of the ""Silver State"" has a silver dome"
"oklahomacity","Natives of this city think it's O.K. to call it OKC"
"honolulu","Dole Cannery Square is one of this city's premier shopping destinations"
"nashville","This city boasts museums devoted to toys, beverage containers and Hank Williams Jr."
"santafe","One of America's oldest churches, the Mission of San Miguel in this city, was erected around 1610"
"boston","The Prudential Center Skywalk provides spectacular views of this New England capital"
"austintexas","Located in the Central Time Zone, it's the largest city by population to have no MLB, NFL, NBA or NHL team"
"andrewjackson","In 1821 Mississippi named its capital for this hero of the War of 1812; he didn't become president until 8 years later"
"topeka","When Kansas became a state in 1861, this city became capital"
"carsoncity","This capital lies in the Eagle Valley about 30 miles south of Reno"
"phoenix","Tempe is a southern suburb of this state capital"
"montpelier","A statue of Ethan Allen stands within the portico of the state capitol building in this city"
"springfieldillinois","This Midwest city is the only state capital whose unabbreviated name starts with 3 consonants"
"denver","It's part of a metropolitan area that includes Boulder"
"madison","On an isthmus between lakes Mendota and Monona, it's Wisconsin's 2nd largest city"
"frankfort","To see the grave of Daniel Boone, you have to blaze a trail to this capital"
"helenamontana","There's an annual dogsled race in this capital of the 4th largest state in the U.S."
"tallahassee","In 1977 this Florida city replaced its old capitol building with a new high-rise capitol"
"springfieldillinois","Abraham Lincoln moved to this capital city in 1837"
"hartford","America's oldest public art museum, the Wadsworth Atheneum, is in this city whose name contains the word ""art"
"honolulu","Put on your sunscreen and head to Waikiki Beach, a popular tourist spot in this capital city"
"boston","It was the site of a famous ""Tea Party"", December 16, 1773"
"atlanta","During the Civil War, Union troops led by Sherman captured and burned much of this Georgia capital"
"andrewjackson","The capital of Mississippi was named for this man, even before he became president"
"sacramentocalifornia","It's the capital of the most populous U.S. state"
"hartfordconnecticut","It was named for Hertford, England"
"augusta","This capital city of Maine lies on both sides of the Kennebec River"
"denver","Founded by gold prospectors, it's situated about 5,280 feet above sea level"
"montgomeryalabama","The Confederate States of America were founded in this capital city on February 4, 1861"
"honolulu","The state capital out in the middle of the Pacific Ocean"
"jeffersoncity","This Missouri capital is one of the 4 named after a U.S. president"
"juneau","It's the northernmost state capital; it can get real cold there too"
"sacramento","As governor, Arnold Schwarzenegger had his office in this state capital"
"lincolnnebraska","This state capital was a compromise choice between North Platters and South Platters"
"phoenix","Grand Canyon University is located in this state capital"
"juneaualaska","Mendenhall Glacier and Glacier Bay National Park lie near this capital city"
"stpaul","In 1838 Pierre ""Pig's Eye"" Parrant became the first setller in what is now this Minnesota capital"
"cheyenne","It's Wyoming's largest city and manufacturing center"
"montgomery","In 1955 Martin Luther King, Jr. led a boycott of this Alabama capital's segregated bus system"
"batonrouge","The name of this capital is French for ""red stick"
"hartford","Dating from 1764, this city's ""Courant"" is one of our nation's oldest newspapers"
"columbusohio","We're not sure whether the Spanish ship on its city flag represents the Nina, Pinta, or Santa Maria"
"jeffersoncity","This capital was created by the Missouri legislature and laid out by the son of Daniel Boone in the 1820s"
"olympiawashington","Mount Rainier is visible to the east from its state capitol building"
"springfield","One of the major attractions in this state capital is the tomb of Abraham Lincoln in Oak Ridge Cemetery"
"honolulu","Queen Liliuokalani died in this city in 1917, 42 years before it became a state capital"
"nashville","Cable TV viewers know the first ""N"" in TNN stands for this state capital"
"missouri","If you know that this state's capital is Jefferson City, ""show me"
"santafe","This New Mexico capital was founded by Don Pedro de Peralta around 1610"
"columbia","Most of this South Carolina city was destroyed by fire in 1865; Sherman's troops claimed it was an ""accident"
"littlerock","The 40-story TCBY Towers office building in this city is Arkansas' tallest building"
"batonrouge","It's the state capital in which Huey Long is buried"
"denver","Stapleton International Airport in this capital is one of the USA's busiest"
"lincolnnebraska","The home of William Jennings Bryan is preserved in this state capital where he lived from 1887-1921"
"albany","This New York capital was once known as Beverwyck"
"juneau","In 1982 Alaskans rejected a proposal that would have made Willow the capital instead of this city"
"bismarck","In hopes that Germany would help finance its railroad, North Dakota named its capital this"
"santafe","Bulit in 1610, the Spanish Palace of Governors in this southwest capital is now a museum"
"montgomeryalabama","It's ""The Birthplace of Dixie"
"tallahassee","It's the only state capital whose name has 3 sets of double letters"
"batonrouge","Built in 1792, St. Joseph's Cathedral is the oldest church in this Louisiana capital"
