"time","Marvell rhymed, Had we but world enough, and this, his mistress coyness were no crime"
"wool","It makes sense that Marlowes passionate shepherd promises his love a gown made of the finest this"
"Dante","He concludes The Divine Comedy with The love that moves the sun and the other stars"
"first sight","Marlowe rhymed, Where both deliberate, the love is slight; who ever loved, that loved not at this?"
"Byron","In her first passion woman loves her lover, in all the others all she loves is love, he wrote in Don Juan"
"Oman","Muscat is its capital city"
"Portugal","The 3 main forts in Muscat date from the 1580s when this small Iberian nation conquered & occupied it"
"mosque","Completed in 2001, the Grand one of these in Muscat is the 1st in the country to be open to non-Muslims"
"sultan","Qaboos bin Said al Said rules from his palace in Muscat under this title that means ruler in Arabic"
"Darwin","(Alex reads the clue from the Mark Twain House in Hartford, CT.)  Mark Twain made notations in the books he owned; he wrote, Can any plausible excuse be furnished for the crime of creating the human race in this mans Voyage of the H.M.S. Beagle"
"Josephine","Napoleon said, I have never loved anyone for loves sake, except, perhaps, her -- a little"
"Honor","Richard Lovelace wrote, I could not love thee dear, so much, loved I not this more"
"Addicted To Love","Song heard here, its also the title of a 1997 film:"
"Love Bug","3 sequels followed this delightful Disney comedy about a magical Volkswagen"
"Love Boat","Captain Merrill Stubing was the main man onboard this title TV cruiser"
"Taj Mahal","Shah Jahan built this complex in Agra, India to immortalize Mumtaz, his favorite wife"
"Laurence Olivier","The first time Vivien Leigh saw him onstage, she said, Thats the man Im going to marry (she was right)"
"Not War","Completes the 4-word hippie motto, Make Love...."
"Amethyst","Some regard this purple quartz gem as a love charm"
"How Do I Love Thee?","Famous first 5 words of Sonnet 43 in Sonnets From The Portuguese"
"Song of Solomon","This book of the Old Testament is basically a collection of love poems"
"bracelet","A popular gift for lovers is a diamond one of these, a word derived from the Latin for arm"
"amorous","This 7-letter adjective for someone with romantic inclinations comes from the Latin for Love"
"corsage","Your date might give you this floral accessory with a name derived from the Latin for body"
"ardent","This synonym for passionate is from the Latin for to burn; or just add a T to a Shakespearean forest..."
"nuptials","Often used in the plural, this synonym for wedding goes back to the Latin verb nubere, to take a husband"
"sub rosa","Literally meaning under the rose, it means to do something covertly or in secret"
"opus","Music lovers know its Latin for work & its plural form is a type of musical work"
"Puppy love","A canine term for youthful infatuation; its also called calf love"
"Amour","French for love, in English it means romance, especially a secret one"
"Narcissism","Its love of yourself, especially if youre a handsome youth or a pretty white flower"
"Kama","Sanskrit for the pursuit of love, its the subject of a famous sutra, or collection"
"loveseat","A small sofa for 2 people"
"lovebird","Small green African avian of the genus agapornis"
"Sun","Its the object John Donne is addressing here:(Why doest thou thus through windows and through curtains call on us; must to thy emotions lovers seasons run)"
"Robert Burns","With words like the following, this poets name could be read as a statement:(Is fair art thou my bonnie lass...)"
"How do I compare thee to a summer\"s day?","Its the line that precedes the following:(Thou art more lovely and more temperate; rough winds do shape the darling buds of May)"
