"chicago","Nation Fire Prevention Week always includes October 9, the anniversary of this city's 1871 fire"
"roshhashanah","This Jewish holiday is celebrated on the first day of the lunar month of Tishri"
"japan","Autumn brings Choyo-No-Sekku or Chrysanthemum Day in this country"
"july","On this date Denmark's Rebild Park holds the largest foreign celebration of American independence"
"slavery","National Freedom Day, February 1, celebrates the 13th Amendment, which abolished this"
"simonbolivar","Ecuador and Venezuela observe the birth of this ""George Washington of South America"" each July 24"
"christmas","It's the last federal holiday of the year"
"halloween","It's celebrated the evening before All Saints' Day"
"hannukah","The name of this 8-day Jewish festival is Hebrew for ""dedication"
"bastilleday","This French holiday that commemorates the storming of a prison is also known as la Fete Nationale"
"animals","On the feast of St. Francis of Assisi people bring these to priests to have them blessed"
"ramadan","This, the ninth month of the Islamic calendar, is sort of the Muslim equivalent of Lent"
"shrovetuesday","This holiday's name came from ""shriving"", purifying yourself by confessing your sins"
"mummers","A Philadelphia museum traces the history of this group famous for its New Year's Day parades"
"october","United Nations Day <br />falls on the anniversary of its founding, the 24th of this month"
"september","Mother's Day is in May; Father's Day is in June; and Grandparent's Day is in this month"
"mahatmagandhi","In India, flowers and wreaths are brought to the shrine of this spiritual leader on his birthday, October 2"
"memorialday","This holiday began in 1868 when a general designated a day to adorn the graves of the Civil War dead"
"groundhogday","The Punxsutawney Spirit was the first newspaper to print news about the observance of this holiday in 1886"
"yomkippur","This Jewish observance marks the end of 10 days of penitence"
"billrobinson","Decreed by Congress in 1989, National Tap Dance Day falls on the May 25th birthday of this man born in 1878"
"halloween","Kids in Somerset, England call pumpkins ""punkies"", and ""Punky Night"" is their version of this celebration"
"christmasseason","If you're in Denmark, you're most likely to see the wee folk called Nisser during this holiday season"
"hinduism","Buying gold jewelry insures good fortune on Akshaya Tritiya, a special day of this religion"
"judaisim","Temporary shelters that may be decorated are built for Sukkot, a festival of this religion"
"february","Presidents' Day is observed on the third Monday in this month"
"neworleans","You can tour old homes in this city's Garden District and French Quarter during its spring fiesta"
"mayday","In 1889 this day was designated a labor holiday by the Second Socialist International"
"stephenfoster","This ""Camptown Races"" composer's death is commemorated on January 13"
"halloween","Originally this holiday was celebrated on the last day of the Celtic year"
"columbusday","This holiday is also known as Discovery Day"
"plymouth","December 21st, Forefathers' Day, commemorates the 1620 landing here"
"februarymarch","The only 2 months in which Ash Wednesday can occur"
"florencenightingale","National Hospital Week honors the birthday of this founder of modern nursing"
"october","Nevada Day is celebrated on this date; how spooky!"
"veteransday","By an act of Congress, in 1954 Armistice Day was renamed this"
"kwanzaa","Harambee!"" and ""Habari Gani!"" are phrases used by African Americans during this 7-day celebration"
"ramadan","Think ""fast"" -- in 2002 this Muslim holy month began on November 6"
"yomkippur","(Sofia of the Clue Crew in front of the Anne Frank House in Amsterdam)  The Anne Frank House here in Amsterdam is open daily except for this holiday"
"lent","Ash Wednesday signals the start of this 40-day period of prayer and fasting"
"mohammed","In Islam Laylat Al-Miraj commemorates his flight from Mecca to Jerusalem and into heaven"
"flagday","Pause for the Pledge"" is one of the ceremonies for this June 14 observance"
"hanukkah","It begins on the 25th of Kislev and lasts 8 days"
"massachusetts","June 17 is Bunker Hill Day in this state's Suffolk County"
"christmas","In Sweden the Julbord is the smorgasbord for this holiday"
"halloween","This holiday is the night before All Saints' Day"
"tet","It's the palindromic name for the Vietnamese New Year"
"drseuss","Horton heard that ""Read Across America Day"", March 2, coincides with the birthday of this children's author"
"agroundhog","Britannica says this animal observed on Feb. 2 is ""basically a giant North American ground squirrel"
"poland","Casimir Pulaski Day, the first Monday in March, celebrates a Revolutionary War hero born in this country"
"arkansas","Daisy Gatson Bates Day in this state celebrates a civil rights activist who helped integrate Little Rock's schools"
"alaska","Seward's Day, the last Monday in March, is one of this state's holidays"
"halloween","In 1972 the mayor of Burbank, Illinois limited trick or treating on this holiday"
"alaska","The last Monday in March is Seward's Day in this state"
"easter","Maundy Thursday falls 3 days before this religious holiday"
"tombstone","Each May this small Arizona community celebrates Wyatt Earp Days"
"poinsettia","This Christmas flower named for an American diplomat is honored on December 12"
"eastereggs","The Ukranians use a batik process to decorate these fragile holiday items"
"lent","In Bulgaria, the week before this 40-day period is Cheese Week; during it, you finish all your cheese"
"mardigras","Celebration during which you might view the Mystic Krewe of Comos"
"stanthony","Lost this saint of Padua's feast day?  It can be found on June 13"
"laborday","The USA's first parade celebrating this holiday took place on September 5, 1882"
"columbusday","The historical event which this holiday celebrates occurred 508 years ago"
"kwanzaa","This African-American holiday begins on December 26 and lasts for 7 days"
"christmas","Every year on this holiday, Washington's crossing of the Delaware is reenacted near Trenton, New Jersey"
"oklahoma","From June to August, the ""Trail of Tears"" drama is staged near Tahlequah in this state"
"netherlands","On April 30 this country celebrates the birthday of its former queen Juliana"
"halloween","This holiday is celebrated on what was once the last day of the Celtic year"
"ramadan","Id Al-Fitr is a day of feasting that ends the fast at the end of this Islamic holy month"
"thanksgiving","This day of prayer and celebration was first decreed by Gov. William Bradford inn 1621"
"easter","This Christian holiday is also called the Feast of the Resurrection"
"yomkippur","This Jewish holiday marks the end of the 10 days of penitence that begins with Rosh Hashanah"
"columbusday","This holiday was first celebrated in the U.S. in 1792, the 300th anniversary of a historic event"
"kingkamehameha","The only public state holiday in the U.S. honoring a monarch is one honoring this ruler"
"groundhog","Bears, badgers and this mammal have been known to predict the weather on Candlemas, February 2"
"roshhashanah","This Jewish holiday that celebrates the new year occurs in the fall before Yom Kippur"
"hawaii","On March 26, this state honors Prince Jonah Kuhio, who became a delegate to Congress"
"laborday","On June 28, 1894 President Grover Cleveland signed an act making the first Monday in September this holiday"
"hanukkah","The folk song ""Sivivon, Sov, Sov, Sov"" or ""Dreidel, Spin, Spin, Spin"", is traditionally sung during this Jewish holiday"
"thanksgiving","Canada's version of this holiday is the 2nd Monday in October; the U.S. usually celebrates it 46 days later"
"groundhogday","You could also call it Woodchuck Day"
"veteransday","In 1953 the folks in Emporia, Kansas renamed Armistice Day this; a year later Congress made it official"
"columbusday","A bill signed in 1968 made it a federal public holiday on the second Monday in October"
"laborday","Matthew Maguire, a machinist, and Peter J. McGuire, a union founder, are credited with creating this holiday"
"halloween","On this holiday, people once placed bowls of food outside their homes to appease ghosts"
"arborday","The foundation devoted to this holiday offers a program in which you can choose pines or spruces as gifts"
"flagday","The Betsy Ross House has long been the official site for Philadelphia's celebration of this June holiday"
"kwanzaa","During each of the 7 days of this African-American celebration, a candle is lit to represent its 7 principles"
"septemberth","As the Constitutional bicentennial reminded us, the Constitution was signed on this date in 1787"
"illinois","Not surprisingly in 1892, this state became the first to make Lincoln's birthday a legal holiday"
"queenvictoria","In Canada, the Monday before May 25th is a holiday named for this queen"
"mayst","In 1889 the 2nd Socialist International designated this day to honor the world's workers"
"christmaseve","In Italy some families eat a traditional supper of fried eels on this December Eve"
"buddha","An annual festival in Kandy, Sri Lanka honors one of this religious figure's teeth"
"unitedstates","Though Kwanzaa was inspired by an African harvest festival, it was developed in this country"
"maundythursday","The Thursday before Easter is known as Holy Thursday or this"
"bastilleday","It's the most famous holiday we know that was named for a prison"
